Sr. No.,Link to the order,IDENTIFICATION INDICATORS,1. Matter ID [Alphanumeric],"2. Appeal Number [Alphanumeric]

","3. Name of Company
[English, 99]

",4. Appellant(s) [English],"5. Lead Counsel(s) for Appellant(s)
[English, 99] 

",6. Respondent(s) [English],"7. Lead Counsel(s) for Respondent(s)
[English, 99] 

","8. Date of Last Hearing
[Numeric (DD-MM-YYYY format), 99]

","9. Date Order was Reserved 
[Numeric (DD-MM-YYYY format), 99, NA]

","10. Date of Order
[Numeric (DD-MM-YYYY format), 99]

","11. Date of Show Cause Notice
[Numeric (DD-MM-YYYY format), 99, NA] ","12. Date of Impugned Order(s)
[Numeric (DD-MM-YYYY format), 99]","13. Link to Impugned Order [URL]

",14. ERC from which appeal arises [Alphanumeric],TRIBUNAL COMPOSITION ,"15. Bench Strength
[Numeric, 99]

","16. Bench has Chairperson 
[Yes (1), No (0), 99] 

","17. Name of Chairperson
[English, NA]

","18. Bench has Judicial Member [Yes (1), No (0), 99] ","19. Name of Judicial Member
[English, NA]

","20. Bench has Technical Member [Yes (1), No (0), 99]","21. Name of Technical Member
[English, NA]

","22. Order Written by Chairperson
[Yes (1), No (0), 99, NA] 

","23. Order Written by Judicial Member
[Yes (1), No (0), 99, NA]

","24. Order Written by Technical Member
[Yes (1), No (0), 99, NA]

","25. Dissenting Opinion
[Yes (1), No (0), 99] 

","26. Dissenting Member
[English, NA]

",ENERGY SOURCE INDICATORS  ,"27. Energy Source was Solar
[Yes (1), No (0), 99]

","28. Energy Source was Wind
[Yes (1), No (0), 99]

","29. Energy Source was Oil
[Yes (1), No (0), 99]

","30. Energy Source was Biomass
[Yes (1), No (0), 99]

","31. Energy Source was Bagasse
[Yes (1), No (0), 99]

","32. Energy Source was Coal
[Yes (1), No (0), 99]

","33. Energy Source was Other 
[Yes (1), No (0), 99]

",PROJECT TYPE INDICATORS,"34. Project was State Entity [Yes (1), No (0), 99] ","35. Project was Power Generator selling to Private Parties [Yes (1), No (0), 99] ","36. Project was a Stand-Alone System
[Yes (1), No (0), 99]

","37. Project was a Captive Project
[Yes (1), No (0), 99]

","38. Project was an Electricity Trader
[Yes (1), 99, NA]

","39. Project was a Transmission Licensee 
[Yes (1), 99, NA]

","40. Project was a Sale-to-State Utility  [Yes (1), 99, NA]","41. Project was RTC Compliant [Yes (1), No (0), 99, NA]","42. Project was RPO Compliant [Yes (1), No (0), 99, NA]",PRAYERS AND ISSUES,"43. Appellant’s Prayers
[English, 99]

","44. Issues
[English, 99]

","45. Issue tariff related?
[Yes (1), No (0), 99]

","46. Dispute over the completion date or a delay in completion?
[Yes (1), No (0), 99]

","47. Issue regarding open access or wheeling and banking?
[Yes (1), No (0), 99]

","48. Issue on non-payment by the state entity?
[Yes (1), No (0), 99]

","49. Issue on exercise of regulatory powers by ERC?
[Yes (1), No (0), 99]

","50. Issue regarding purchase obligations of renewable energy?
[Yes (1), No (0), 99]

","51. Order
[English, 99]

",PRECEDENT,"52. Order cites prior APTEL Orders
[Yes (1), No (0)]

","53. Order cites prior ERC Orders
[Yes (1), No (0)]

",LEGISLATION/ REGULATION,"54. Electricity Act, 2003 invoked
[Yes (1), No (0)]

","55. Fees for Making Application for Grant of License Rules, 2004 invoked
[Yes (1), No (0)]

","56. National Electricity Plan Notification Rules, 2004 invoked
[Yes (1), No (0)]

","57. Means of Delivery of Notice, Order or Document Rules, 2004 invoked
[Yes (1), No (0)]

","58. Appellate Tribunal for Electricity (Procedure, Form, Fee and Record of Proceedings) Rules, 2007 invoked
[Yes (1), No (0)]

","59. Electricity Rules, 2005 invoked
[Yes (1), No (0)]

","60. Electricity (Rights of Consumers) Amendment Rules, 2021 invoked
[Yes (1), No (0)]

","61. Electricity (Late Payment Surcharge and Related Matters) Rules, 2022 invoked
[Yes (1), No (0)]

","62. Electricity (Promoting Renewable Energy Through Green Energy Open Access) Rules, 2022 invoked
[Yes (1), No (0)]

","63. Other Legislation, Rules, Regulations invoked [Alphanumeric]",INTERIM PROCEEDINGS,"64. Interim stay of the impugned order granted
[Yes (1), No (0), 99, NA]

","65. Interim stay was granted ex parte
[Yes (1), No (0), 99, NA]

","66. Deposit of penalty under S. 111 of Electricity Act dispensed with?
[Yes (1), No (0), NA]

","67. Why dispensed?
[English, NA]

",APPEAL WITHDRAWN/ REMANDED/ DISMISSED/ ALLOWED,"68. Appeal Withdrawn
[Yes (1), NA ]

","69. Filed Fresh Appeal
[Yes (1), NA]

","70. Delay in Filing Appeal
[Yes (1), NA] 

","71. Delay Condoned
[Yes (1), No (0), NA]

","72. Appeal Remanded
[Yes (1), No (0)]

","73. Procedural Ground 1 
[Descriptive, 99, NA] 

","74. Impugned Order Quashed
[Yes (1), No (0), 99, NA].

","75. Appeal Dismissed 
[Yes (1), No (0), 99]

","76. Appeal Partly Allowed
[Yes (1), No (0), 99] 
","77. Appeal Fully Allowed
[Yes (1), No (0), 99]

","78. Allowed because:
[English,99,NA]

",SANCTIONS,"79. Impugned Order involved  sanctions imposed by ERC
[Yes (1), No (0), 99]

","80. Part Penalty Amount Deposited for Appeal
[Figures in Indian numbering system, 99, NA]

","81. Sanctions Modified
[Yes (1), No (0), 99, NA] 
","82. Penalty Amount under ERC Order
[Figures in Indian numbering system, 99, NA]

","83. Modified Penalty Amount under APTEL Order
[Figures in Indian numbering system, 99, NA]

","84. Did the ERC revoke a party’s licence?
[Yes (1), No (0), 99, NA]

","85. Did the APTEL set aside the revocation of licence?
[Yes (1), No (0), 99, NA]

","86. Did the ERC impose terms and conditions under Section 19 without revoking a party’s licence?
[Yes (1), No (0), 99, NA]

","87. Did the ERC suspend a distribution licence?
[Yes (1), No (0), 99, NA]

","88. Did the APTEL set aside such suspension?
[Yes (1), No (0), 99, NA]

","89. Did the APTEL modify the conditions imposed on such party?
[Yes (1), No (0), 99, NA]

","90. Did the ERC require a licensee to sell their utility under Section 20?
[Yes (1), No (0), 99,NA]

","91. Did the APTEL set aside such sale?
[Yes (1), No (0), 99, NA]

",COSTS,"92. Costs Ordered
[Yes (1), No (0), 99] 

","93. Quantum of costs
[Figures in Indian numbering system, 99, NA]

","94. Costs Ordered on Appellant
[Yes (1), No (0), 99, NA]

","95. Costs Ordered on Respondent
[Yes (1), No (0), 99, NA]

",Remarks,Impugned Order Arose from Petition Type,Notes on Petition Types
1,https://drive.google.com/file/d/1BpXXQumqzTvsvxw21ejKvSu0LYdyUFZS/view?usp=sharing,,,328/2021,,Taqa Neyveli Power Company Private Limited,MG Ramachandran,,,99,99,01-07-2022,NA,05-10-2021,,TNERC,,2,1,Justice RK Gauba,0,NA,1,Sandesh Kumar Sharma,1,NA,0,0,NA,,99,99,99,99,99,1,99,,0,99,99,99,99,99,99,99,99,,99,99,99,99,99,99,99,99,"For the foregoing reasons, we do not find any substance in the appeal. It is dismissed.",,1,0,,1,0,0,0,0,0,0,0,0,"Environment (Protection) Rules, 1986; Evironment (Protection) Act, 1986; Environment (Protection) Amendment Rules, 2015.",,99,NA,NA,NA,,NA,NA,NA,NA,0,NA,0,1,0,0,"It is the contention of TANGEDCO that the case of the appellant falls in the category where there was a requirement for installation of FGD as a condition imposed by the environmental clearance issued on 23.12.1988 and, consequently, it cannot be allowed to be claimed that the installation of FGD has become mandatory only after the 2015 amendment. THis clearly presents a scenario where the parties have not been ad idem on the crucial issue of the 2015 Amendment having the character of CIL event. In these circumstances, it was wholly inappropriate for the appellant to insist on the consideration of its miscellaneous petition for grant of in-principle approval. The Commission could not have gone for consideration as to whether a case of in-principle approval was made out or not unless and until the dispute over the issue concerning the change in law event has been resolved. Since the appellant did not approach the State Commission for resolution of such dispute by appropriate petition invoking its jurisdiction under Section 86(1)(f) of the Electricity Act, 2003, the rejection of the case as done by the impugned judgment cannot be faulted.",,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,99,99,99,99,,MP,
2,,,,,,,,Tamil Nadu Electricity Regulatory Commission,Basava Prabhu S Patil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,99,99,99,,,
3,,,,,,,,Tamil Nadu Generation and Distribtution Corporation Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,99,99,99,,,
4,https://drive.google.com/file/d/1Ds_sA11msIZzreziHbGic8FU_Ni5W2Lx/view?usp=sharing,,,131/2020,,Tamil Nadu Power Producers Association,Sajjan Poovayya,,,99,99,07-06-2021,NA,28-01-2020,,TNERC,,2,1,Justice Manjula Chellur,0,NA,1,Ravindra Kumar Verma,1,NA,NA,0,NA,,99,99,99,99,99,99,99,,99,99,99,99,99,99,99,99,99,,"This Appeal being Appeal No. 131 of 2020 has been filed by Tamil Nadu Power Producers Association (“TNPPA”) challenging the impugned order dated 28.01.2020 passed by the Tamil Nadu Electricity Regulatory Commission (“TNERC”) in R.A. No. 7 of 2019wherein the said Commission has formulated a procedure for verification of status of Captive User(s) and Captive Generating Plant(s) (“CGP”) located in the State of Tamil Nadu, said to be in terms of directions of Hon’ble High Court of Madras in W.A. (MD) No. 930 of 2017.","Issue No.1:- Whether the appointment of TANGEDCO as the verifying as well as adjudicating authority is justified in law?Issue No.2:- Whether the documents to be provided for availing open access under Section 9 of the Act can be linked to Wheeling/ Open Access with captive verification?Issue No.3:- Whether it is correct on the part of Respondent Commission to treat SPV as an AOP for ascertaining the eligibility of captive status?Issue No.4:- Whether the State Commission is justified in implementation of the proposed Draft amendment to Electricity Rules, 2005 proposed by Ministry of Power which are yet to be approved and notified?",0,0,1,0,1,0,"We hold that the second Respondent/TANGEDCO can be entrusted with the exercise of collecting & verifying data for the purpose of verification of captive plant status only. However, any coercive action to be initiated against the CGP /captive users regarding its captive status or for recovery of CSS, as per law, it shall be decided by the first Respondent / State Commission.We hold that for the purpose of granting open access for captive purpose, the document as recorded at Para 11.3 shall be adequate/sufficient. Needless to mention that these documents, as specified therein, are within the framework of TNERC Grid Connectivity & Intra State Open Access Regulations, 2014 and also do not violate the provisions of Rule 3 of the Electricity Rules, 2005.We hold that as per provisions stipulated under the Rule 3 of the Electricity Rules, 2005, the SPV & AOP are two distinct entities and cannot be equated at par for computation of annual power consumption for determining the captive status.We hold that the verification for determining ownership & consumption for CGP /captive users under Rule 3, being an independent exercise, has to be done on annual basis, at the end of financial year.We hold that the directions contained in Paras 6.6.3 and 7.8.2 of the impugned order passed by the State Commission are in disregard to Rule 3 of the Electricity Rules and hence, cannot be sustained.We hold that as per settled principles of law, there cannot be retrospective application of the procedure formulated under the impugned order for verification of status of CGP/captive users. However, it is clarified that for the past years, the second Respondent/TANGEDO can verify data for the purpose of determination of captive plant status on the basis of data already furnished by CGP/Captive users while availing the open access.We set aside the directions contained in Para 7.6.9 of the impugned order wherein the State Commission has held that, in the event, the weightage average of shareholding of captive users changes within a financial year, then the same has to be intimated within ten days to the second respondent/TANGEDCO, otherwise the said licensee would proceed to verify captive status without considering weightage average shareholding.",,1,0,,1,0,0,0,0,1,0,0,1,"TNERC Open Access Regulations, 2014; National Electricity Policy, 2005; National Tariff Policy, 2016; ",,NA,NA,NA,NA,,NA,NA,NA,NA,0,NA,0,0,1,0,"We have no doubt that Section 97 of the Act permits the appropriate Commission to delegate such of its powers and functions except the power to adjudicate disputes under Sections 79 & 86 and power to make Regulations under Sections 178 or 181. However, we cannot lose sight of the fact that it is a settled principle that any action undertaken by a quasi-judicial body, which includes delegation of power by the Commission to any authority, should not wither away the underlying foundation of transparency, unbiasedness and fair play. Vesting critical functions like verification of status of CGPs, captive users in the State of Tamil Nadu by the Commission upon an authority which can be a direct beneficiary of such process, cannot be said to be free and fair on the face of it.It is observed from the aforesaid that Rule 3 envisages two primary conditions for a captive generating plant to be fulfilled in terms of Section 9 of the Act. These conditions are firstly, that not less than 26% of ownership is to be held by the captive users and secondly, not less than 51% of the aggregate electricity generated in such plant determined on an annual basis, is consumed for the captive use. The rest of the Rule mandates what would be the manner of compliance qua a CGP established by a SPV, Association of persons and a cooperative society etc. What is material here is that the legislature in its wisdom has framed the process for determination of the status of CGP to be done annually, at the end of the financial year. It is equally important to point out that Rule 3 does not deal with grant of open access. The open access is governed by Sections 2(47), 9 and 42(2) of the Act. Therefore, verification of Rule 3 conditions qua shareholding, cannot be made mandatory pre-condition for grant of open access. Further, we also see that essentially between Rule 3(1)(a)(i) and Rule 3(1)(a)(ii) there is no exclusivity and the two conditions are dependent on each other. We agree with the submission of the Appellant that verification of the criteria mentioned under Rule 3(1)(a)(ii) cannot be done on a stand-alone basis, by ignoring Rule 3(1)(a)(i). Consumption of 51% of the aggregate electricity generated by Captive User(s), annually, can only be done by considering and verifying as to whether the captive users hold 26% of ownership.        From the above, we see that there is nothing contained in the TNERC Grid Connectivity and Intra-State Open Access Regulations, 2014, which mandates verification of shareholding structure of CGPs/captive users before/prior to grant of open access for captive use and we have to agree with the contentions of the Appellant. It is a settled position of law with regard to interpretation of statutes and regulations that a provision of law enacted under legislation of the Parliament or delegated legislation has to be read and interpreted in the manner they have been enacted. A quasi-judicial body or a State Instrumentality is not permitted under law to read into a legal provision                                              We accordingly hold that verification of minimum shareholding and minimum consumption on proportionate basis for CGPs and Captive Users has to be done strictly in terms of Rule 3 of the Rules, without any deviation and the said Rule envisages verification under Rule 3(1)(a)(i) and Rule 3(1)(a)(ii) to be at the end of financial year only. If the Distribution Licensee delays or denies open access, in a manner to defeat the concept of captive generation and consumption, then the question of verification under the above Rules will have no meaning and purpose. Accordingly, we observe that in such a scenario, Respondent No. 2 cannot benefit by its own default, and in the event, it is found that the open access was wrongfully denied or delayed, then Respondent No. 2 cannot seek to claim CSS at the end of financial year.We agree with the submission put forward by the Appellant that second proviso to Rule 3(1)(a) is a stand-alone provision and as such does not relate to Rule 3(1)(b). The Parliament in its wisdom has created an intelligible differentia under Rule 3, between a SPV and an AOP. It is clear from a reading of Rule 3 that second proviso to Rule 3(1)(a) which exclusively deals with an AOP, lays down that the captive user(s) shall hold not less than 26% ownership of the plant in aggregate and shall not consume less than 51% of the electricity generated, determined on an annual basis, in proportion to their ownership of the power plant.
On the other hand, Rule 3(1)(b) exclusively deals with a SPV, and it only provides that the conditions mentioned in Rule 3(1)(a)(i) and (ii) are applicable to a SPV, with the second proviso not mandated to be applied to it. Thus, we find force in the argument of the Appellant that second Proviso to Rule 3(1)(a) is a stand-alone provision.  In line with the approach adopted by us in the above judgment, wherein the previous judgment of this Tribunal holding that DPC is part of Non-Tariff Income, was declared by us as ‘per incuriam’, we proceed to apply the same principle in the present appeal. We opine that the decision of this Tribunal in Kadodara judgment (supra) is given without taking into consideration the provisions of Rule 3 of the Rules to the extent that Second Proviso to Rule 3(1)(a) being an exception under law could not have been applied to Rule 3(1)(b). The said decision was also given in ignorance of the judgments referred by the Appellant, namely B.N. Elias. (1936) I.L.R. 63 Cal. 538; CIT v. LaxmidasDevidas (1937) 39 BOM LR 910; and Dwaraknath Harishchandra Pitale, [1937] 5 ITR 716 (Bom), RamanlalBhailal Patel v. State of Gujarat, (2008) 5 SCC 449, CIT v. Buldana Distt. Main Cloth Importer Group, (1961) 1 SCR 181 and Mohd. Noorulla v. CIT, (1961) 3 SCR 515 which establish that an ‘association of persons’ is a recognized tax entity and not an incorporated entity. We cannot permit unreasonable hardship to be caused to a captive generating plant, set up by a special purpose vehicle, by applying the above judgment of this Tribunal in ignorance of vital facets governing the framework of Rule 3 and also important judicial decisions as noted above. In the light of this, we have no hesitation to hold that the decision of the Tribunal in Kadodara judgment (supra) to the extent it equates a SPV and an AOP is ‘per incuriam’. Consequently, the decisions referred to by the Respondents for the aforesaid issue do not lend any assistance. Therefore, the directions contained under 6.4.4, 6.4.5 and 7.6.4 of the impugned order are set aside. We have observed that the directions referred to in the foregoing paragraphs of the impugned order mandate verification of ownership and consumption for any change in the group captive structure for each corresponding period of such change. In the present Judgment, we have already held that any verification for determining ownership and consumption for CGPs and captive users under Rule 3 of the Rules, being an interdependent exercise, has to be done on an annual basis, at the end of financial year. In the scheme of Rule 3 of the Rules and in light of the decisions referred in Appeal No. 252 of 2014 and Appeal No. 316 of 2013, we have already settled this aspect that the requirement of 26% shareholding and 51% captive consumption are the minimum requirements to be fulfilled by a set of captive users, and once the same is done, the rest of the captive users not fulfilling the above conditions will have no impact to the overall captive structure. As such, we have no hesitation in holding that as per the aforesaid judgments, there cannot be any liability to make payment of CSS by defaulting captive users if the rest of the captive users fulfil the minimum requirements of 26% shareholding and 51% of consumption.We have noted the submissions of the Respondents and observe that while they are at liberty under law to take appropriate legal remedy, however the appeal before us emanates from the limited issue of challenge to formulation of procedure by TNERC for verification of status of CGPs and captive users in the State of Tamil Nadu. We also cannot lose sight of the crucial fact brought to our knowledge that what is being sought to be done vide the impugned order is an attempt to open the already concluded transactions by requiring additional documents, over and above the documents already furnished by CGPs and captive users who have availed open access in the past.applied. We agree with the submissions of the Appellant that the nature of shareholding in a captive structure is fluid and dynamic. That, existing captive users within the said captive structure can choose to give-up its ownership along with consumption of captive power at any point of time if it considers no usage for the same. In such a scenario, if no new captive user(s) is added then the shareholding along with consumption is accordingly adjusted. A CGP cannot foresee the future and predict as to how many of its shareholders may give up their ownership along with consumption of captive power, neither can it be predicted, if any new/ how many captive user(s) will be inducted within the structure.
In such a scenario, if in terms of Rule 3 of the Rules verification of minimum shareholding along with minimum consumption is not done annually, at the end of the financial year but done considering ownership at different periods during the year, then same would create unforeseen difficulties for a CGP to maintain its captive structure. As such, we opine that the verification mandated under the Rule 3 has to be done annually, by considering the shareholding existing at the end of the financial year. This is also evident from a perusal of Format-5 formulated by TNERC as a part of the impugned order, which also specifically contemplates verification to be done as per the shareholding existing at the end of the financial year. Similar view has already been taken by us in Appeal No. 02 and 179 of 2018 titled as “Prism Cement Limited v. MPERC & Ors” (supra).    We also note that the Act nowhere prescribes that a CGP once set up by an entity cannot be transferred to another owner or on transfer of ownership, the CGP loses its character of being captive despite fulfillment of all other conditions requiring it to be so, under Rule 3 of the Rules. A captive generating plant does not lose its character by transfer of the ownership or any part of the ownership provided, the generating plant produces power primarily for the use of its owner(s) and this can be done within the confines of a financial year.",,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,NA,NA,NA,Respondents are producers using different sources of power.,RA,
5,,,,,,,,Tamil Nadu Electricity Regulatory Comission,Sethu Ramalingam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,
6,,,,,,,,Tamil Nadu Generation and Distribtution Corporation Limited,CS Vaidyanathan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,
7,,,,,,,,Sugapriya Paper and Boards Private Limited,99,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,99,99,,99,99,99,1,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,
8,,,,,,,,Indian Wind Power Association,Rahul Balaji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,
9,,,,,,,,The Southern India Mills Association,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,
10,,,,,,,,Tamil Nadu Electricity Consumers Association,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,
